公司,年月,TCRI,總分,規模,獲利,安全,效率,CFO,CFO不一致,利息支出率,資產報酬%,營業利益%,借款息%,平均收款天增減,平均售貨天增減,借款依存度%,營收,TSE產業別
2527 宏璟,2008/12/31,7,170.0,12.0,23.0,23.0,10.0,0.93,,9.06,4.92,-1.64,3.35,-2.0,884.0,61.0,9.0,14
2528 皇普,2008/12/31,D,-654.0,5.0,-1.0,-222.0,6.0,2.95,,16.75,0.01,4.8,4.46,-356.0,-8889.0,443.0,4.0,14
2534 宏盛,2008/12/31,6,126.0,15.0,42.0,3.0,-40.0,-9.48,+,15.98,1.7,30.78,2.5,0.0,6743.0,86.0,11.0,14
2536 宏普,2008/12/31,4,621.0,78.0,95.0,46.0,42.0,-2.31,+,2.3,10.28,28.96,2.86,-33.0,-322.0,73.0,71.0,14
2540 愛山林,2008/12/31,D,-275.0,3.0,-20.0,-105.0,96.0,3.3,,4.43,-8.85,-15.39,3.06,-69.0,-8889.0,338.0,3.0,14
2547 日勝生,2008/12/31,8,152.0,40.0,29.0,8.0,-40.0,-25.55,+,11.23,1.45,12.23,3.97,54.0,1243.0,99.0,25.0,14
2606 裕民,2008/12/31,4,998.0,129.0,120.0,100.0,49.0,128.57,,1.33,29.86,60.87,2.92,2.0,0.0,44.0,181.0,15
2610 華航,2008/12/31,7,-178.0,140.0,-20.0,-140.0,47.0,-16.65,,3.36,-2.77,-7.74,3.36,-3.0,0.0,389.0,1313.0,15
2611 志信,2008/12/31,9,257.0,26.0,48.0,23.0,-40.0,2.93,,7.21,4.07,14.12,4.28,14.0,-30.0,105.0,16.0,15
2612 中航,2008/12/31,5,789.0,78.0,120.0,70.0,49.0,41.1,,3.47,29.37,52.85,3.13,-4.0,0.0,91.0,64.0,15
2613 中櫃,2008/12/31,7,541.0,23.0,56.0,93.0,40.0,3.01,,0.24,5.21,11.4,2.28,-5.0,0.0,12.0,17.0,15
2616 山隆,2008/12/31,5,508.0,58.0,21.0,90.0,48.0,2.75,,0.13,3.7,1.07,3.08,-5.0,-1.0,32.0,124.0,23
2633 台灣高鐵,2008/12/31,D,-707.0,138.0,-20.0,-302.0,48.0,-36.77,,75.9,-2.85,-27.07,4.65,1.0,0.0,1293.0,230.0,15
2636 台驊投控,2008/12/31,6,567.0,28.0,52.0,100.0,46.0,1.61,,0.02,10.37,1.68,3.96,0.0,0.0,1.0,54.0,15
2705 六福,2008/12/31,8,225.0,34.0,-13.0,51.0,48.0,1.16,,2.88,-3.3,-11.82,2.79,-1.0,0.0,58.0,22.0,16
2841 台開,2008/12/31,9,-246.0,7.0,19.0,-92.0,-40.0,9.04,,14.96,1.59,3.12,1.0,-16.0,-8994.0,256.0,6.0,14
2905 三商,2008/12/31,5,686.0,140.0,3.0,100.0,96.0,173.14,,0.0,0.28,-0.5,0.0,-3.0,-16.0,70.0,555.0,18
2915 潤泰全,2008/12/31,6,511.0,90.0,31.0,66.0,40.0,4.87,,2.36,5.95,-1.07,2.93,-2.0,-7.0,61.0,83.0,18
3004 豐達科,2008/12/31,D,-904.0,7.0,-20.0,-282.0,-12.0,-0.17,,5.91,-3.38,3.83,3.79,6.0,-38.0,1274.0,8.0,10
3008 大立光,2008/12/31,3,867.0,75.0,120.0,100.0,58.0,44.44,,0.0,25.89,41.83,0.0,-40.0,-25.0,1.0,75.0,26
3015 全漢,2008/12/31,4,680.0,92.0,47.0,99.0,57.0,5.71,,0.06,6.12,5.03,4.56,-2.0,-4.0,3.0,167.0,28
3018 同開,2008/12/31,8,413.0,6.0,6.0,100.0,83.0,2.63,,0.27,2.0,0.41,4.54,8.0,-23.0,0.0,11.0,31
3026 禾伸堂,2008/12/31,4,657.0,89.0,41.0,100.0,56.0,12.62,,0.27,5.68,6.5,2.7,2.0,2.0,26.0,143.0,28
3027 盛達,2008/12/31,5,418.0,16.0,7.0,100.0,65.0,1.41,,0.02,2.1,2.03,4.75,7.0,5.0,0.0,23.0,27
3036 文曄,2008/12/31,6,585.0,135.0,20.0,70.0,43.0,14.64,,0.52,3.41,1.92,4.15,3.0,7.0,78.0,408.0,29
3037 欣興,2008/12/31,3,733.0,140.0,46.0,81.0,73.0,79.56,,1.12,4.68,9.26,3.23,0.0,-5.0,61.0,457.0,28
3041 揚智,2008/12/31,5,590.0,36.0,46.0,100.0,80.0,4.66,,0.06,4.38,13.26,0.0,4.0,-12.0,0.0,32.0,24
3045 台灣大,2008/12/31,1,947.0,140.0,120.0,71.0,93.0,274.05,,1.01,17.97,31.43,2.83,-1.0,2.0,41.0,693.0,27
3049 和鑫,2008/12/31,7,604.0,72.0,46.0,78.0,89.0,43.89,,3.04,5.43,8.01,5.22,-14.0,-5.0,55.0,76.0,26
3052 夆典,2008/12/31,8,271.0,30.0,46.0,38.0,-40.0,-2.35,+,1.71,4.35,7.38,3.34,-42.0,14.0,120.0,28.0,14
3054 立萬利,2008/12/31,7,486.0,4.0,40.0,100.0,59.0,0.51,,0.0,5.94,6.3,0.0,38.0,2.0,0.0,5.0,24
3058 立德,2008/12/31,6,473.0,46.0,19.0,86.0,68.0,-0.31,,0.44,3.05,2.24,4.42,-9.0,-10.0,39.0,70.0,28
3090 日電貿,2008/12/31,5,540.0,20.0,58.0,100.0,28.0,4.04,,0.19,7.91,8.05,3.52,13.0,11.0,4.0,30.0,28
3130 一零四,2008/12/31,5,708.0,12.0,97.0,100.0,95.0,3.84,,0.03,15.58,14.65,18.41,-4.0,0.0,0.0,19.0,30
3149 正達,2008/12/31,6,309.0,9.0,-16.0,100.0,40.0,-1.09,,0.75,-6.26,-20.35,1.42,27.0,14.0,34.0,7.0,26
3167 大量,2008/12/31,5,469.0,12.0,80.0,82.0,-40.0,1.41,,1.14,8.68,13.26,4.26,32.0,66.0,65.0,18.0,5
3321 同泰,2008/12/31,8,111.0,16.0,-20.0,36.0,31.0,-0.03,,3.14,-7.12,-13.16,4.05,-22.0,1.0,141.0,16.0,28
3406 玉晶光,2008/12/31,7,182.0,13.0,-20.0,70.0,7.0,-2.27,,3.87,-13.06,-88.4,6.05,-17.0,-1.0,23.0,9.0,26
